#IDCaso,indJogadorMao,cartaRobo1,cartaRobo2,cartaRobo3,cartaRodada1Robo,CartaRodada1Humano,ganhadorRodada1,cartaRodada2Robo,cartaRodada2Humano,ganhadorRodada2,cartaRodada3Robo,cartaRodada3Humano,ganhadorRodada3,cartaHumano1,cartaHumano2,cartaHumano3,quemVenceuMao
206,20,100,41,31,41,40,null,100,null,20,null,null,null,40,null,null,20
207,10,82,71,22,22,110,10,71,11,20,83,null,null,110,11,null,10
208,20,83,50,3,83,53,20,3,80,20,50,110,10,110,80,53,20
209,10,120,2,22,2,82,10,120,63,20,null,null,null,82,63,null,20
210,20,93,43,40,93,110,10,null,42,10,null,null,null,110,42,null,10
211,10,93,81,3,81,71,20,93,51,20,null,null,null,71,52,51,20
212,20,60,51,30,51,52,null,60,71,10,null,null,null,110,71,52,10
213,10,81,23,20,23,93,10,20,13,20,81,70,20,93,70,13,20
214,20,43,13,12,12,21,10,43,31,20,13,80,10,80,31,21,10
215,10,110,60,40,60,71,10,null,null,null,null,null,null,71,12,0,10
216,20,80,71,1,71,13,20,1,20,10,80,41,20,41,20,13,20
217,10,90,81,21,90,92,null,81,100,10,null,null,null,100,92,83,10
218,20,83,81,21,21,42,10,83,92,10,null,null,null,92,42,10,10
219,10,92,61,23,61,42,20,23,50,10,92,120,10,120,50,42,10
220,20,90,43,23,23,41,10,42,11,20,90,120,10,120,11,41,10
221,10,93,71,42,71,63,20,42,40,null,null,null,null,63,40,31,20
222,20,52,0,10,0,20,10,10,1,20,52,120,10,120,20,1,10
224,20,63,62,50,50,80,10,62,22,20,63,90,10,90,80,22,10
225,10,70,31,11,11,90,10,70,43,20,31,50,10,90,50,43,10
226,20,90,82,23,90,3,20,null,null,null,null,null,null,90,82,3,20
227,10,70,62,23,62,31,20,23,63,10,110,70,20,70,63,31,20
228,20,83,42,23,23,50,10,83,52,20,42,53,10,53,52,50,10
230,10,100,22,12,12,1,20,22,60,10,100,91,20,91,60,1,20
231,20,81,63,60,60,82,10,63,40,20,81,1,20,82,40,1,20
232,10,61,50,11,61,53,20,11,31,10,50,100,10,100,53,31,10
233,20,130,90,30,30,60,10,90,22,20,130,21,20,60,22,21,20
235,20,100,60,22,22,61,10,60,1,20,30,83,10,83,61,1,10
237,10,93,11,2,11,22,10,null,23,10,null,null,null,22,23,null,10
238,20,110,63,62,63,70,10,62,2,20,null,null,null,70,2,null,20
239,10,52,30,0,30,23,20,1,90,10,null,null,null,90,23,null,10
240,20,90,21,1,21,40,10,null,null,null,null,null,null,40,null,null,10
241,10,110,21,11,21,12,20,null,null,null,null,null,null,12,null,null,20
242,20,70,62,52,62,83,10,null,null,null,null,null,null,83,null,null,10
243,10,61,43,41,61,42,20,41,null,20,null,null,null,42,41,null,20
244,20,110,82,20,82,0,20,100,null,20,null,null,null,0,null,null,20
245,10,63,53,42,42,100,10,53,23,20,null,null,null,100,23,null,10
246,20,120,70,43,70,83,10,43,20,20,100,120,10,120,81,20,10
247,10,130,80,70,80,81,null,null,null,null,null,null,null,81,null,null,20
248,20,100,21,0,21,31,10,100,22,20,0,52,10,52,40,22,10
249,10,120,90,81,81,40,20,null,null,null,null,null,null,2,null,null,20
250,20,91,80,13,80,3,20,13,52,10,130,91,20,91,52,1,20
251,10,93,91,30,70,1,20,null,null,null,null,null,null,1,null,null,20
252,20,100,91,90,90,11,20,null,null,null,null,null,null,11,null,null,20
253,10,51,42,12,12,0,20,40,null,20,null,null,null,0,null,null,20
254,20,110,43,13,43,60,10,null,20,10,null,null,null,60,20,null,10
255,20,130,52,3,52,63,10,130,70,20,3,80,10,80,70,63,10
256,20,30,20,1,20,41,10,30,62,10,null,null,null,62,41,null,10
